0.0000,0.0335,0.0743,0.1213,0.1722,0.2242,0.2736,0.3162,0.3474,0.3626,0.3578,0.3296,0.2760,0.1964,0.0922,-0.0330,-0.1740,-0.3235,-0.4728,-0.6125,-0.7328,-0.8246,-0.8799,-0.8929,-0.8602,-0.7816,-0.6597,-0.5005,-0.3125,-0.1062,0.1062,0.3125,0.5005,0.6597,0.7816,0.8602,0.8929,0.8799,0.8246,0.7328,0.6125,0.4728,0.3235,0.1740,0.0330,-0.0922,-0.1964,-0.2760,-0.3296,-0.3578,-0.3626,-0.3474,-0.3162,-0.2736,-0.2242,-0.1722,-0.1213,-0.0743,-0.0335,-0.0000
0.0000,0.0331,0.0734,0.1197,0.1700,0.2213,0.2700,0.3121,0.3429,0.3579,0.3532,0.3254,0.2724,0.1938,0.0910,-0.0326,-0.1718,-0.3193,-0.4667,-0.6046,-0.7233,-0.8139,-0.8685,-0.8813,-0.8491,-0.7714,-0.6512,-0.4940,-0.3084,-0.1049,0.1049,0.3084,0.4940,0.6512,0.7714,0.8491,0.8813,0.8685,0.8139,0.7233,0.6046,0.4667,0.3193,0.1718,0.0326,-0.0910,-0.1938,-0.2724,-0.3254,-0.3532,-0.3579,-0.3429,-0.3121,-0.2700,-0.2213,-0.1700,-0.1197,-0.0734,-0.0331,-0.0000
0.0000,0.0318,0.0705,0.1150,0.1633,0.2126,0.2595,0.2999,0.3295,0.3440,0.3394,0.3127,0.2618,0.1863,0.0875,-0.0313,-0.1651,-0.3068,-0.4485,-0.5810,-0.6951,-0.7822,-0.8346,-0.8469,-0.8159,-0.7413,-0.6258,-0.4748,-0.2964,-0.1008,0.1008,0.2964,0.4748,0.6258,0.7413,0.8159,0.8469,0.8346,0.7822,0.6951,0.5810,0.4485,0.3068,0.1651,0.0313,-0.0875,-0.1863,-0.2618,-0.3127,-0.3394,-0.3440,-0.3295,-0.2999,-0.2595,-0.2126,-0.1633,-0.1150,-0.0705,-0.0318,-0.0000
0.0000,0.0297,0.0658,0.1074,0.1525,0.1985,0.2422,0.2800,0.3076,0.3211,0.3168,0.2919,0.2444,0.1739,0.0817,-0.0293,-0.1541,-0.2864,-0.4187,-0.5424,-0.6489,-0.7301,-0.7791,-0.7906,-0.7617,-0.6920,-0.5842,-0.4432,-0.2767,-0.0941,0.0941,0.2767,0.4432,0.5842,0.6920,0.7617,0.7906,0.7791,0.7301,0.6489,0.5424,0.4187,0.2864,0.1541,0.0293,-0.0817,-0.1739,-0.2444,-0.2919,-0.3168,-0.3211,-0.3076,-0.2800,-0.2422,-0.1985,-0.1525,-0.1074,-0.0658,-0.0297,-0.0000
0.0000,0.0268,0.0594,0.0969,0.1377,0.1792,0.2187,0.2528,0.2777,0.2899,0.2861,0.2635,0.2206,0.1570,0.0737,-0.0264,-0.1391,-0.2586,-0.3780,-0.4897,-0.5859,-0.6592,-0.7034,-0.7138,-0.6877,-0.6248,-0.5274,-0.4001,-0.2498,-0.0849,0.0849,0.2498,0.4001,0.5274,0.6248,0.6877,0.7138,0.7034,0.6592,0.5859,0.4897,0.3780,0.2586,0.1391,0.0264,-0.0737,-0.1570,-0.2206,-0.2635,-0.2861,-0.2899,-0.2777,-0.2528,-0.2187,-0.1792,-0.1377,-0.0969,-0.0594,-0.0268,-0.0000
0.0000,0.0232,0.0515,0.0840,0.1193,0.1553,0.1895,0.2190,0.2406,0.2512,0.2479,0.2284,0.1912,0.1360,0.0639,-0.0229,-0.1205,-0.2241,-0.3275,-0.4243,-0.5077,-0.5712,-0.6095,-0.6185,-0.5959,-0.5414,-0.4570,-0.3467,-0.2165,-0.0736,0.0736,0.2165,0.3467,0.4570,0.5414,0.5959,0.6185,0.6095,0.5712,0.5077,0.4243,0.3275,0.2241,0.1205,0.0229,-0.0639,-0.1360,-0.1912,-0.2284,-0.2479,-0.2512,-0.2406,-0.2190,-0.1895,-0.1553,-0.1193,-0.0840,-0.0515,-0.0232,-0.0000
0.0000,0.0190,0.0422,0.0689,0.0978,0.1273,0.1554,0.1796,0.1973,0.2060,0.2033,0.1873,0.1568,0.1116,0.0524,-0.0188,-0.0989,-0.1838,-0.2686,-0.3480,-0.4163,-0.4684,-0.4998,-0.5072,-0.4887,-0.4440,-0.3748,-0.2843,-0.1775,-0.0603,0.0603,0.1775,0.2843,0.3748,0.4440,0.4887,0.5072,0.4998,0.4684,0.4163,0.3480,0.2686,0.1838,0.0989,0.0188,-0.0524,-0.1116,-0.1568,-0.1873,-0.2033,-0.2060,-0.1973,-0.1796,-0.1554,-0.1273,-0.0978,-0.0689,-0.0422,-0.0190,-0.0000
0.0000,0.0144,0.0319,0.0520,0.0738,0.0961,0.1173,0.1355,0.1489,0.1555,0.1534,0.1413,0.1183,0.0842,0.0395,-0.0142,-0.0746,-0.1387,-0.2027,-0.2626,-0.3142,-0.3535,-0.3772,-0.3828,-0.3688,-0.3351,-0.2828,-0.2146,-0.1340,-0.0455,0.0455,0.1340,0.2146,0.2828,0.3351,0.3688,0.3828,0.3772,0.3535,0.3142,0.2626,0.2027,0.1387,0.0746,0.0142,-0.0395,-0.0842,-0.1183,-0.1413,-0.1534,-0.1555,-0.1489,-0.1355,-0.1173,-0.0961,-0.0738,-0.0520,-0.0319,-0.0144,-0.0000
0.0000,0.0093,0.0207,0.0337,0.0479,0.0624,0.0761,0.0880,0.0966,0.1009,0.0996,0.0917,0.0768,0.0546,0.0257,-0.0092,-0.0484,-0.0900,-0.1316,-0.1704,-0.2039,-0.2294,-0.2448,-0.2484,-0.2393,-0.2174,-0.1835,-0.1393,-0.0869,-0.0296,0.0296,0.0869,0.1393,0.1835,0.2174,0.2393,0.2484,0.2448,0.2294,0.2039,0.1704,0.1316,0.0900,0.0484,0.0092,-0.0257,-0.0546,-0.0768,-0.0917,-0.0996,-0.1009,-0.0966,-0.0880,-0.0761,-0.0624,-0.0479,-0.0337,-0.0207,-0.0093,-0.0000
0.0000,0.0040,0.0090,0.0146,0.0208,0.0270,0.0330,0.0381,0.0419,0.0437,0.0431,0.0397,0.0333,0.0237,0.0111,-0.0040,-0.0210,-0.0390,-0.0570,-0.0738,-0.0883,-0.0994,-0.1061,-0.1076,-0.1037,-0.0942,-0.0795,-0.0603,-0.0377,-0.0128,0.0128,0.0377,0.0603,0.0795,0.0942,0.1037,0.1076,0.1061,0.0994,0.0883,0.0738,0.0570,0.0390,0.0210,0.0040,-0.0111,-0.0237,-0.0333,-0.0397,-0.0431,-0.0437,-0.0419,-0.0381,-0.0330,-0.0270,-0.0208,-0.0146,-0.0090,-0.0040,-0.0000
